"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-01",,,"35",",,0","21",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-02",,,"35",",,0","21",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-03",,,"54",",,0","35",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-04",,,"46",",,0","35",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-05",,,"43",",,0","33",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-06",,,"40",",,0","31",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-07",,,"41",",,0","32",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-08",,,"40",",,0","28",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-09",,,"39",",,0","29",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-10",,,"44",",,0","37",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-11",,,"43",",,0","34",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-12",,,"42",",,0","32",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-13",,,"50",",,0","32",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-14",,,"36",",,0","26",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-15",,,"50",",,0","28",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-16",,,"46",",,0","29",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-17",,,"33",",,0","17",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-18",,,"35",",,0","15",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-19",,,"29",",,0","17",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-20",,,"26",",,0","16",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-21",,,"28",",,0","15",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-22",,,"38",",,0","21",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-23",,,"41",",,0","9",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-24",,,"18",",,0","7",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-25",,,"25",",,0","9",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-26",,,"27",",,0","7",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-27",,,"17",",,0","10",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-01-28",,,"22",",,0","8",",,0"
